lon,lat,dune_length,dune_volume
-170.3148804,-55.29542542,106.0660172,28904.76798
-170.3148804,-55.29542542,161.4001239,353405.7301
-170.3148804,-55.29542542,309.2329219,398402.3374
-170.3148804,-55.29542542,226.5502152,791466.5279
-169.5151062,-37.61299133,300.0416638,1478422.642
-169.5151062,-37.61299133,263.1539473,1134156.282
-169.5151062,-37.61299133,245.8149711,722140.731
-167.6847534,-55.74950409,374.8332963,3650808.525
-167.6847534,-55.74950409,268.7936011,1367555.915
-167.6847534,-55.74950409,319.0611227,1138972.787
-167.4702148,-48.09667969,298.4124662,659994.6474
-167.4702148,-48.09667969,242.5386567,321762.8263
-167.4702148,-48.09667969,205.5480479,331010.884
-167.4702148,-48.09667969,277.2183255,679543.765
-167.4702148,-48.09667969,262.7736669,1062076.414
-167.4702148,-48.09667969,222.0360331,404996.4282
-167.4702148,-48.09667969,305,655807.6291
-167.4702148,-48.09667969,223.6067977,296017.4207
-167.4702148,-48.09667969,297.195222,855374.8434
-167.4702148,-48.09667969,300.4163777,314461.7783
-167.4702148,-48.09667969,163.4778272,176807.5814
-167.4702148,-48.09667969,303.3562262,491938.5558
-167.4702148,-48.09667969,213.1900561,612970.003
-167.4702148,-48.09667969,261.7250466,349463.1446
-167.4702148,-48.09667969,212.1320344,493498.9363
-167.4702148,-48.09667969,242.3324163,547683.4699
-167.4702148,-48.09667969,287.1410803,679875.9034
-167.4702148,-48.09667969,166.2077014,132044.4126
